LAST SEEN   TYPE     REASON                 OBJECT                           MESSAGE
52m         Normal   Killing                pod/some-memcached               Stopping container memcached
52m         Normal   DeletingLoadBalancer   service/some-memcached-11211     Deleting load balancer
51m         Normal   DeletedLoadBalancer    service/some-memcached-11211     Deleted load balancer
51m         Normal   Pulled                 pod/some-memcached               Container image "memcached:1.6.38" already present on machine
51m         Normal   Scheduled              pod/some-memcached               Successfully assigned default/some-memcached to node-b-4core-rkqx
51m         Normal   Started                pod/some-memcached               Started container memcached
51m         Normal   Created                pod/some-memcached               Created container memcached
51m         Normal   EnsuringLoadBalancer   service/some-memcached-11211     Ensuring load balancer
50m         Normal   EnsuredLoadBalancer    service/some-memcached-11211     Ensured load balancer
49m         Normal   Scheduled              pod/parsec-blackscholes-pc5kc    Successfully assigned default/parsec-blackscholes-pc5kc to node-b-4core-rkqx
49m         Normal   Scheduled              pod/parsec-freqmine-9mrwr        Successfully assigned default/parsec-freqmine-9mrwr to node-a-8core-t4w3
49m         Normal   Pulling                pod/parsec-freqmine-9mrwr        Pulling image "anakli/cca:parsec_freqmine"
49m         Normal   SuccessfulCreate       job/parsec-freqmine              Created pod: parsec-freqmine-9mrwr
49m         Normal   SuccessfulCreate       job/parsec-blackscholes          Created pod: parsec-blackscholes-pc5kc
49m         Normal   Pulling                pod/parsec-blackscholes-pc5kc    Pulling image "anakli/cca:parsec_blackscholes"
49m         Normal   Started                pod/parsec-blackscholes-pc5kc    Started container parsec-blackscholes
49m         Normal   Created                pod/parsec-blackscholes-pc5kc    Created container parsec-blackscholes
49m         Normal   Started                pod/parsec-freqmine-9mrwr        Started container parsec-freqmine
49m         Normal   Created                pod/parsec-freqmine-9mrwr        Created container parsec-freqmine
49m         Normal   Pulled                 pod/parsec-freqmine-9mrwr        Successfully pulled image "anakli/cca:parsec_freqmine" in 581ms (581ms including waiting). Image size: 159516230 bytes.
49m         Normal   Pulled                 pod/parsec-blackscholes-pc5kc    Successfully pulled image "anakli/cca:parsec_blackscholes" in 568ms (568ms including waiting). Image size: 153652038 bytes.
49m         Normal   Scheduled              pod/parsec-barnes-4h4vl          Successfully assigned default/parsec-barnes-4h4vl to node-a-8core-t4w3
49m         Normal   Pulling                pod/parsec-barnes-4h4vl          Pulling image "anakli/cca:splash2x_barnes"
49m         Normal   SuccessfulCreate       job/parsec-barnes                Created pod: parsec-barnes-4h4vl
